Source,Target,Weight
Horizon Online,PinICL,1
Horizon Online,Del Mellington's,1
Legacy Horizon,mismatch,1
Legacy Horizon,Fraser,1
Legacy Horizon,Riposte,1
Legacy Horizon,PEAK,2
Legacy Horizon,PinICL,1
Legacy Horizon,David MacDonald,1
Legacy Horizon,EPOSS,1
Legacy Horizon,Paragraphs 45,1
Legacy Horizon,Project Impact,1
Ms Meadows,Ms Sewell,1
Anthony Hooper,Hillsborough,1
Simon,the Simon Clarke Review,1
Simon,Simon Richardson,1
Commission,Magistrates' Court,1
Simon Richardson,Paula Vennells,1
Chair,Paula Venles,1
Chair,Ms Perkins,1
Paula Venles,Susan Kreischer,1
the General Counsel,General Counsel,1
the General Counsel,Ian,1
Bon Dickinson,Cartwright King,1
Bon Dickinson,Simon King,1
Cartwright King,Simon King,1
Cartwright King,Belinda Ojard,1
Cartwright King,Bonn Pierce,1
Cartwright King,Roderick Williams,1
Falkirk,mismatch,1
mismatch,Del Mellington's,1
CFO,Global Head of Investigations,1
GE Capital,Head of Fraud Management,1
GE Capital,Citibank,2
Ian Henderson,Belinda Crowe,1
Ian Henderson,Chris O'Yard,1
Ian Henderson,General Counsel,1
Ian Henderson,Susan Creisham,1
Ian Henderson,Freeths,1
Ian Henderson,National Savings Investments,1
Ian Henderson,Cameron,1
Ian Henderson,Mr Ismay,1
Ian Henderson,Howe Co,1
Ian Henderson,Angela Vanna-Bogaert,1
Beer,Graham,1
Rudkin,Spot Review,1
Ian,John Elsing,1
Ian,Ojaard,2
Ian,General Counsel,1
Al Cameron,Cameron,1
Cameron,Mr Ismay,1
Paul Venells,PowerPoint,1
Allin Lyons,Ojard,1
Citibank,Bank of America,1
Treasury,Oliver Letwin,1
Treasury,SAP,1
ATM,Lloyds Bank,1
Maureen McKelvie,Nicola Arch,1
Maureen McKelvie,Susan Palmer,1
Nicola Arch,Susan Palmer,1
Jason Coyne's,Julie Walstenholme,1
BDO Stoy Heywood,Lee Castleton,1
PinICL,PEAK,3
PinICL,Peak,1
PinICL,EPOSS,2
PinICL,EPOSS PinICL Task Force,2
PinICL,the EPOSS PinICL Task Force,1
John Scott's,the Post Office Investigation Department,1
Roderick Williams,Belinda Ojard,1
Roderick Williams,Bonn Pierce,1
Belinda Crowe,Chris O'Yard,1
Belinda Crowe,General Counsel,1
Belinda Crowe,Angela Vanden Bogart,1
Belinda Crowe,Chris Oyarb,1
Belinda Crowe,Patrick Baulk,1
Chris O'Yard,General Counsel,1
Clarke,Hamilton,1
Angela Vanden Bogart,Chris Oyarb,1
Angela Vanden Bogart,Patrick Baulk,1
Chris Oyarb,Patrick Baulk,1
Chris Ojard,Jane McLeod,1
Jason Coyne,Patrick Green,1
Jason Coyne,Warden,1
Patrick Green,Warden,1
POL,Paul,1
Bank of Ireland,Fed,1
Belinda Ojard,Bonn Pierce,1
Cambridge University,"university,",1
ICL,International Computers Limited,1
ICL,Fujitsu Services Limited,1
ICL,Benefits Agency,1
Project Impact,the Bureau de Change,1
Project Impact,Repos,1
Project Impact,Paragraphs 45,1
Riposte,Escher,1
Escher,Jeremy,1
Escher,Alan Ward,1
Escher,EPOSS,1
IBM,the Network Banking Engine,1
Jeremy Folkes,the Infrastructure Assurance Team,1
the Benefits Agency,the Post Office Counters Limited,1
DSS,ITL Management,1
EPOSS,REPOS,1
EPOSS,David MacDonald,1
EPOSS,Gareth Jenkins',1
EPOSS,Alan Ward,1
EPOSS,EPOSS PinICL Task Force,2
EPOSS,the EPOSS PinICL Task Force,1
EPOSS,LFS,1
EPOSS,MacDonald,1
SSC,Gareth,1
PEAK,Peak,1
Gareth,Alan Ward,1
Gareth,Graham,1
Gareth,Pinder,1
Gareth,Jane,1
Gareth Jenkins',Pinder,1
EPOSS PinICL Task Force,the EPOSS PinICL Task Force,1
Austin Bennett,McDonnell,1
Castleton,the Marine Drive Post Office,1
Castleton,Sewell,1
Castleton,Pinder,2
Bentley Johnson,Jeninson,1
Marine Drive,Brian Pinder,1
Marine Drive,Anne Chambers,1
Brian Pinder,Greg,1
Brian Pinder,Graham Ward,1
Brian Pinder,Andy,1
Brian Pinder,Dunks,1
Brian Pinder,Peter Sewell,1
Brian Pinder,Penny Thomas,1
Brian Pinder,Dilley,1
Brian Pinder,First Draft Statement,1
Brian Pinder,Pinder,1
Brian,Pinder Having,1
Correct,Ishaq,1
Correct,Misra,1
Graham,Pinder,2
Graham,Graham Ward,1
Pinder,Bond Pearce,1
Pinder,Stephen Dilley,1
Pinder,Mr Sewell,1
Pinder,Dilley,1
Pinder,First Draft Statement,1
Graham Ward,Mandy Talbot,1
Andy,Dunks,1
Andy,Peter Sewell,1
Dunks,Peter Sewell,1
Anne Chambers,Naomi Ellis,1
Bond Pearce,Stephen Dilley,1
Penny Thomas,James Davidson,1
Penny Thomas,Rachel Panter,1
Penny Thomas,Jane Bradbury,1
Penny Thomas,Jane Irwin,1
Dilley,First Draft Statement,1
Hosey,Misra,1
Misra,Ishaq,2
Misra,Allen,1
Misra,Neill,1
Misra,Sefton,1
James Davidson,Panter,1
James Davidson,Panton,1
James Davidson,Rachel Panter,1
Panter,Panton,1
Penny,Jane Owen,1
Jane Bradbury,Jane Irwin,1
Neill,Sefton,2
Neill,Allen,1
Neill,Ishaq,1
Sefton,Allen,1
Sefton,Ishaq,1
Allen,Ishaq,2
Allen,Ms Misra's,1
Allen,Ms Neild's,1
Allen,Ms Sefton,1
Allen,Thomas,1
